CUSTOMER;B/L TYPE;COMBINE B/L;SHIPPING MARK ON B/L;TANK REQUIREMENT;OTHER REQUIREMENT
LUSH UK;SWB;;NO;;MUST INCLUDE IN INVOICE “NOT FOR HUMAN CONSUMPTION – COSMETIC INGREDIENT”
LIMSA;SWB;YES;NO;;"1. Sebelum proses PO, re-confirm ke Bu Bellah apakah orderan ini utk L'OREAL ATAU BUKAN
2. Untuk Orderan Loreal di Remarks SO harus tulis ""L'OREAL""   3. Send Invoice by Email "
MARVESA;OBL;;;;"1.DOC SEND TO OCBC PALMSPRING
2. DRAFT BL CHECK BY CUSTOMER "
MARPOL PARLATICI;SWB;;NO;WAX B PERLU CEK KOSHER/HALAL;NEED TO SEND DOC DRAFT TO CUST
MBP SOLUTION;OBL;;NO;;"1. REQ TO PSPA DI SAP HARUS MENGIKUTI COA YG DI APPROVED DARI MARKETING KE CUST.
2. REQUIRE STAMP & SIGN ON PI
3.SEND SAMPLE EACH CONTAINER (ONCE PAYMENT RECEIVED & CLOSE TO ETD BATAM)
4.CHECK NEW SI TO PROCEED
5. BL DETAILS W/ BATCH NO, MANUFACTURING & EXPIRY DATE (INPUT SAP & EMAIL TO QA)
6.DOC DRAFT NEED TO BE SEND TO CUST
7.DO NOT SHOW SHIPPING MARK WHICH STATED WORD PALM"
MIG SYMSTEMS;SWB;;NO;;
MONOCHEM;OBL;;YES;;
MOSSELMAN;OBL;;NO;KOSHER/HALAL ;"NEUTRAL BAGS, MARKING WITHOUT ECOGREEN & MUI LOGO , IF ROMULGIN GTCC (ISOTANK) NEED FOOD GRADE ISOTANK 
1 PO 1 DOC"
NiMAC UK;SWB;;NO;;
NiMAC GMBH;SWB;;NO;;
OLEON NV;SWB;;NO;"last cargo : on FOSFA acceptable list, Halal, Kosher
2nd and 3rd: NOBL, Kosher";"1. DO NOT USE HMM & YML (NOW ACCEPTABLE)
2. 21 FREE DAYS AT POD
3. MAX LOADING: 20 MT/ISOTANK
4. Invoice send by DHL
5. ETA POD 1 week earlier than requested                                                          "
OQEMA UAB;SWB;;NO;;
OY CELEGO;SWB;;NO;;send invoice by email
PULCRA ;SWB;;YES;KOSHER / HALAL ;
SABO;SWB;;;NO NEED TO CHECK;send invoice by email
SASOL GERMANY ;SWB;;NO;KOSHER / HALAL ;NEED KOSHER CERT 
SARCHEM KIMYA;SWB;;NO;;
SEPPIC ;SWB;;NO;NO NEED TO CHECK;
STEPAN UK;SWB;;NO;;1. OLD DRUM PACKAGING (CORD STRAP & PLASTIC WRAPPING)
STOCKMEIER CHEMIE;SWB;YES;NO;;"1.MAX 2 FCLS ON 1 BL & 1 MV
2.send invoice by email"
STOCKMEIER CHEMIA;SWB;;NO;;
SCHILL + SEILACHER GMBH;SWB;;YES;;
SYSKEM CHEMIE;SWB;;;;"1. DRUM WITH NEW PACKAGING 
(YELLOW STRAP WITH NO PLASTIC WRAPPING)"
STEARINERIE DUBOIS FILS;SWB;;NO;;DOC DRAFT FOR CUSTOMER APPROVAL
SYMRISE GRANADA;SWB;;YES;;"Inovice & PL need to add
“IBCs are reusable”
“Total estimated non recyclable plastic strapping per FCL of 18 ibcs is 0,5kgs"""
UNILEVER PMT;SWB;;NO;;
VAN WIJK;OBL;;NO;"1st cargo : FOSFA Acceptable
2nd cargo : FOSFA NOBL
3nd cargo: FOSFA NOBL";"Apabila pembelian melalui EMERALD / Trader , ada komisi untuk trader USD 10 (bisa dikonfirmasikan kembali dgn SMP)  > harus input di SAP                                                                                        FOR PKFAD PRODUCT >> NEED TO SEND SAMPLE
note :
PKFAD GMP+ >> SO FROM PTEO
PKFAD ONLY >> SO FROM EOS
FATTY ALCOHOL END >> SO FROM EOS"
WIN COSMETIC;SWB;;NO;;
YIGITOGLU;OBL;;YES;;"1.ONE PO SHOULD HAS ONE SHIPMENT DATE (DO NOT SPLIT THE SHIPMENT DATE)
2.1 PO 1 DOC
3.CUSTOMER NEED TO CONFIRM SHIPPING DOC BEFORE DISPACTH TO BANK"
ZSCHIMMER &SCHWARZ ITALIANA ;SWB;;YES;;IN CASE 1 CONTAINER CONTAIN MORE THAN 1 PRODUCT, EACH PRODUCT US BE POSITIONED NEAR CONTAINER DOOR, SO IF THERE'S INSPECTION BY ITALIAN CUSTOMS, IT WON'T BE NECESSARY TO EMPTY THE ENTIRE CONTAINER
ZSCHIMMER GMBH;SWB;;;NO NEED TO CHECK;
;;;;;
NOTE : ;;;;;
1. Semua produk walau Non MB ke Europe harus double name label;;;;;
2. NO ECOROL NAME UNTUK SHIPMENT KE TURKEY;;;;;
3. Semua shipment ke United Kingdom pakai Form A bukan Rex ;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
